icd_code,n,d,rate
1570,0,1,0.0
1579,0,26,0.0
1623,0,1,0.0
1628,0,1,0.0
1629,1,45,0.022222222222222223
1639,0,1,0.0
1707,0,1,0.0
1723,0,1,0.0
17390,0,1,0.0
1749,0,31,0.0
1769,0,2,0.0
179,0,1,0.0
1809,0,2,0.0
1820,0,4,0.0
1830,1,7,0.14285714285714285
185,2,9,0.2222222222222222
1888,0,1,0.0
1889,1,8,0.125
1890,0,4,0.0
1911,0,1,0.0
1919,0,4,0.0
1970,0,10,0.0
1976,0,2,0.0
1977,0,7,0.0
1983,0,22,0.0
1985,0,21,0.0
1987,0,1,0.0
19889,1,1,1.0
1991,0,5,0.0
20020,0,1,0.0
20040,0,2,0.0
20190,0,1,0.0
20200,0,1,0.0
20210,0,2,0.0
20240,0,1,0.0
20280,1,25,0.04
20300,0,22,0.0
20400,0,2,0.0
20410,1,6,0.16666666666666666
20500,0,4,0.0
20510,0,2,0.0
20511,1,1,1.0
20890,0,2,0.0
20920,0,2,0.0
20923,0,1,0.0
20929,0,1,0.0
2102,0,1,0.0
2115,0,1,0.0
2126,0,1,0.0
2137,0,1,0.0
2138,0,1,0.0
2140,0,2,0.0
2141,0,2,0.0
2148,0,1,0.0
2165,0,1,0.0
2166,0,1,0.0
2180,0,2,0.0
2189,2,65,0.03076923076923077
220,0,4,0.0
2223,0,1,0.0
2252,0,4,0.0
2270,0,1,0.0
2273,0,1,0.0
22801,0,1,0.0
22802,0,1,0.0
22804,0,1,0.0
2330,0,1,0.0
2354,0,1,0.0
23773,0,1,0.0
2384,0,2,0.0
23871,0,2,0.0
23875,0,3,0.0
2388,0,1,0.0
2392,0,2,0.0
2396,0,1,0.0
2409,0,2,0.0
2410,0,1,0.0
24200,0,6,0.0
24290,0,5,0.0
2441,0,1,0.0
2449,9,293,0.030716723549488054
2451,0,1,0.0
2452,0,1,0.0
2459,0,4,0.0
2469,0,2,0.0
25000,37,1387,0.026676279740447006
25001,5,199,0.02512562814070352
25002,1,23,0.043478260869565216
25003,0,4,0.0
25011,0,3,0.0
25012,0,1,0.0
25040,0,2,0.0
25041,0,2,0.0
25050,0,4,0.0
25051,0,5,0.0
25060,0,18,0.0
25061,3,16,0.1875
25080,6,79,0.0759493670886076
25081,1,104,0.009615384615384616
25083,0,1,0.0
2511,0,1,0.0
2512,0,15,0.0
2535,0,1,0.0
25541,0,8,0.0
2561,0,4,0.0
2564,0,5,0.0
2713,0,3,0.0
2720,20,824,0.024271844660194174
2724,7,105,0.06666666666666667
2729,0,1,0.0
2731,0,1,0.0
27400,1,58,0.017241379310344827
27401,0,17,0.0
2749,0,89,0.0
27503,0,1,0.0
2752,0,7,0.0
2753,0,5,0.0
27540,0,1,0.0
27541,1,6,0.16666666666666666
27542,0,1,0.0
27549,0,2,0.0
2760,0,1,0.0
2761,3,60,0.05
2762,0,8,0.0
27650,0,4,0.0
27651,11,378,0.0291005291005291
27652,0,16,0.0
27669,0,2,0.0
2767,2,100,0.02
2768,3,96,0.03125
2769,0,1,0.0
2774,0,1,0.0
2776,0,2,0.0
27800,0,2,0.0
27801,1,5,0.2
2792,0,1,0.0
27949,0,1,0.0
2809,0,6,0.0
2819,0,1,0.0
2825,0,1,0.0
28260,0,1,0.0
28261,0,1,0.0
28262,8,39,0.20512820512820512
28268,0,3,0.0
28269,0,4,0.0
2830,0,1,0.0
2839,0,1,0.0
28419,0,3,0.0
2851,0,4,0.0
2858,0,2,0.0
2859,2,138,0.014492753623188406
2860,0,3,0.0
2861,0,1,0.0
2863,0,3,0.0
2864,0,1,0.0
28659,0,1,0.0
2870,1,2,0.5
2872,0,2,0.0
28731,0,8,0.0
2875,0,20,0.0
28800,1,12,0.08333333333333333
2883,0,2,0.0
28850,0,1,0.0
28860,2,16,0.125
28861,0,1,0.0
2892,0,5,0.0
2893,0,5,0.0
28959,0,1,0.0
28981,0,10,0.0
2900,1,51,0.0196078431372549
29181,1,31,0.03225806451612903
2920,2,32,0.0625
29212,0,1,0.0
29281,0,2,0.0
29284,0,2,0.0
29285,0,1,0.0
29289,0,2,0.0
29381,0,1,0.0
29410,4,16,0.25
29411,0,4,0.0
29420,0,51,0.0
29421,0,1,0.0
2949,0,2,0.0
29520,0,2,0.0
29530,0,7,0.0
29532,0,1,0.0
29540,0,1,0.0
29570,0,13,0.0
29590,2,46,0.043478260869565216
29620,0,15,0.0
29622,0,2,0.0
29630,0,1,0.0
29634,0,1,0.0
29640,0,7,0.0
29644,0,1,0.0
29650,0,6,0.0
29660,0,1,0.0
2967,0,15,0.0
29680,0,31,0.0
29689,0,1,0.0
29690,0,33,0.0
29699,0,1,0.0
2971,1,19,0.05263157894736842
2979,0,1,0.0
2982,0,1,0.0
2989,1,36,0.027777777777777776
29900,0,2,0.0
29980,0,2,0.0
30000,19,634,0.02996845425867508
30001,3,98,0.030612244897959183
30002,0,8,0.0
30009,0,4,0.0
30011,1,8,0.125
30015,0,1,0.0
30021,0,1,0.0
3004,0,4,0.0
3009,1,6,0.16666666666666666
30122,0,1,0.0
3013,0,3,0.0
30151,0,1,0.0
3017,0,1,0.0
30189,1,1,1.0
3019,0,1,0.0
30300,13,140,0.09285714285714286
30301,1,11,0.09090909090909091
30390,2,70,0.02857142857142857
30391,0,14,0.0
30400,0,20,0.0
30401,0,14,0.0
30410,0,3,0.0
30411,1,4,0.25
30421,0,1,0.0
30440,0,1,0.0
30460,0,1,0.0
30461,0,2,0.0
30470,0,8,0.0
30471,0,2,0.0
30500,30,1241,0.024174053182917002
30501,0,1,0.0
3051,0,1,0.0
30520,0,50,0.0
30521,0,5,0.0
30530,0,2,0.0
30540,0,4,0.0
30541,0,1,0.0
30550,1,44,0.022727272727272728
30551,0,6,0.0
30553,0,1,0.0
30560,3,24,0.125
30561,0,2,0.0
30570,0,5,0.0
30590,1,60,0.016666666666666666
30591,0,1,0.0
3061,0,5,0.0
3071,0,13,0.0
30722,0,1,0.0
30742,0,1,0.0
30750,0,7,0.0
30751,0,4,0.0
30759,0,1,0.0
30780,0,1,0.0
30781,0,21,0.0
3079,2,48,0.041666666666666664
3080,0,6,0.0
3082,0,1,0.0
3083,0,2,0.0
3089,0,7,0.0
3090,0,30,0.0
30924,0,6,0.0
30928,0,11,0.0
30981,0,12,0.0
30989,0,1,0.0
3099,0,9,0.0
3102,2,88,0.022727272727272728
311,5,326,0.015337423312883436
31234,0,1,0.0
31289,0,1,0.0
3129,0,19,0.0
31400,0,5,0.0
31401,0,12,0.0
3158,0,6,0.0
317,0,3,0.0
319,0,15,0.0
3207,0,1,0.0
3229,0,1,0.0
32382,0,1,0.0
3241,0,1,0.0
32723,0,1,0.0
3310,1,30,0.03333333333333333
3313,0,1,0.0
3314,0,2,0.0
33182,0,2,0.0
3319,0,1,0.0
3320,3,75,0.04
3332,0,4,0.0
3334,0,2,0.0
33372,0,7,0.0
33379,0,1,0.0
33381,0,2,0.0
33383,0,1,0.0
33385,0,1,0.0
33390,0,2,0.0
33391,0,1,0.0
33394,1,5,0.2
3343,0,1,0.0
33520,0,3,0.0
3360,0,1,0.0
3371,0,1,0.0
33721,0,2,0.0
33722,0,2,0.0
33729,0,1,0.0
3379,0,1,0.0
3380,0,1,0.0
33818,2,136,0.014705882352941176
33819,2,47,0.0425531914893617
33828,0,2,0.0
33829,5,176,0.028409090909090908
3383,0,4,0.0
3384,0,2,0.0
33900,0,11,0.0
33920,0,17,0.0
3393,0,4,0.0
33943,0,1,0.0
340,4,118,0.03389830508474576
3410,0,1,0.0
34290,0,1,0.0
3430,0,1,0.0
3438,0,1,0.0
3439,1,16,0.0625
3441,0,13,0.0
34489,0,1,0.0
34500,0,2,0.0
34510,0,4,0.0
34550,0,3,0.0
34580,6,290,0.020689655172413793
34590,6,292,0.02054794520547945
34600,0,5,0.0
34603,0,1,0.0
34620,1,5,0.2
34650,0,1,0.0
34680,1,33,0.030303030303030304
34682,0,3,0.0
34690,20,610,0.03278688524590164
34691,0,1,0.0
34692,0,1,0.0
34700,0,1,0.0
3480,0,2,0.0
3482,1,15,0.06666666666666667
34830,0,1,0.0
3485,0,2,0.0
34889,1,3,0.3333333333333333
3489,1,9,0.1111111111111111
3490,4,48,0.08333333333333333
34981,0,1,0.0
3501,1,26,0.038461538461538464
3510,1,138,0.007246376811594203
3519,0,1,0.0
3529,0,1,0.0
3530,0,4,0.0
3540,0,20,0.0
3542,0,14,0.0
3543,0,13,0.0
3549,0,5,0.0
3551,0,1,0.0
3558,1,26,0.038461538461538464
3559,0,4,0.0
3562,0,1,0.0
3569,0,3,0.0
3570,0,1,0.0
3572,0,14,0.0
35800,1,15,0.06666666666666667
3589,0,1,0.0
3591,0,2,0.0
35921,0,1,0.0
35922,0,1,0.0
3593,0,1,0.0
36000,0,3,0.0
36100,0,4,0.0
36103,0,1,0.0
36130,0,1,0.0
36189,0,5,0.0
3619,0,9,0.0
36211,0,1,0.0
36230,0,2,0.0
36234,0,3,0.0
36235,0,1,0.0
36250,0,1,0.0
36256,0,1,0.0
36284,0,1,0.0
36322,0,1,0.0
3638,0,1,0.0
36400,0,4,0.0
36405,1,1,1.0
3643,1,24,0.041666666666666664
36441,0,1,0.0
36442,0,1,0.0
36500,0,1,0.0
36522,0,8,0.0
3659,0,6,0.0
36602,0,1,0.0
36604,0,1,0.0
36617,0,1,0.0
3669,0,2,0.0
3670,0,1,0.0
36811,0,1,0.0
36812,0,3,0.0
36813,0,1,0.0
36816,0,2,0.0
3682,2,47,0.0425531914893617
36840,0,1,0.0
36841,0,1,0.0
36844,0,2,0.0
36846,0,2,0.0
3688,3,200,0.015
3694,0,1,0.0
3698,0,4,0.0
37000,1,16,0.0625
37021,0,3,0.0
37040,0,1,0.0
3708,0,4,0.0
3709,0,7,0.0
37120,0,2,0.0
37142,0,1,0.0
37160,0,1,0.0
37182,0,15,0.0
3719,0,2,0.0
37200,0,2,0.0
37202,0,1,0.0
37205,0,5,0.0
37206,0,6,0.0
37214,0,20,0.0
37215,0,1,0.0
37230,7,261,0.02681992337164751
37239,0,9,0.0
37240,0,1,0.0
37242,0,1,0.0
37251,0,1,0.0
37272,2,57,0.03508771929824561
37273,0,1,0.0
37274,0,1,0.0
37289,0,4,0.0
37300,0,13,0.0
37311,1,63,0.015873015873015872
37312,0,3,0.0
37313,1,7,0.14285714285714285
3732,0,12,0.0
37331,0,2,0.0
37332,0,1,0.0
3738,0,1,0.0
3739,0,2,0.0
37430,0,7,0.0
37482,0,5,0.0
37484,0,1,0.0
37489,0,1,0.0
37500,0,1,0.0
37501,1,1,1.0
37515,0,3,0.0
37530,0,3,0.0
37556,0,1,0.0
37601,1,23,0.043478260869565216
37610,0,1,0.0
37611,0,3,0.0
37700,0,3,0.0
37724,0,1,0.0
37730,0,4,0.0
37732,0,1,0.0
37741,0,1,0.0
37815,0,1,0.0
37830,0,1,0.0
37851,0,1,0.0
37853,0,2,0.0
37854,1,4,0.25
3789,0,1,0.0
37900,0,9,0.0
37919,0,1,0.0
37921,0,23,0.0
37923,0,11,0.0
37924,0,8,0.0
37927,0,1,0.0
37929,0,1,0.0
37941,0,11,0.0
37943,0,5,0.0
37950,0,1,0.0
3798,1,13,0.07692307692307693
37991,6,129,0.046511627906976744
37992,0,35,0.0
37993,1,13,0.07692307692307693
37999,0,9,0.0
38001,0,2,0.0
38003,0,1,0.0
38010,5,123,0.04065040650406504
38021,0,1,0.0
38031,1,2,0.5
3804,5,115,0.043478260869565216
3814,0,4,0.0
38181,0,6,0.0
38200,1,2,0.5
3829,3,177,0.01694915254237288
3839,0,2,0.0
38401,0,2,0.0
38420,0,15,0.0
3849,0,1,0.0
38589,0,4,0.0
38600,0,3,0.0
38610,1,120,0.008333333333333333
38611,2,67,0.029850746268656716
38612,0,2,0.0
38619,1,1,1.0
38630,0,14,0.0
38635,0,1,0.0
38830,0,25,0.0
38861,0,1,0.0
38869,0,2,0.0
38870,4,121,0.03305785123966942
3888,0,6,0.0
38900,0,1,0.0
3898,0,1,0.0
3899,0,4,0.0
3970,0,1,0.0
4010,0,1,0.0
4019,98,4077,0.02403728231542801
40390,0,3,0.0
40391,0,50,0.0
41091,0,2,0.0
4111,0,6,0.0
412,1,2,0.5
4139,0,1,0.0
41400,4,224,0.017857142857142856
41401,0,5,0.0
41519,0,11,0.0
4168,0,3,0.0
42090,1,41,0.024390243902439025
42091,0,4,0.0
4239,0,21,0.0
4240,0,7,0.0
4241,0,5,0.0
4243,0,1,0.0
42490,0,1,0.0
42518,0,1,0.0
4254,0,13,0.0
4257,0,1,0.0
4259,0,6,0.0
4260,0,1,0.0
42611,0,3,0.0
42612,0,1,0.0
42613,0,3,0.0
4262,0,1,0.0
4263,0,3,0.0
4264,0,1,0.0
4267,0,4,0.0
4270,2,28,0.07142857142857142
4271,0,6,0.0
42731,10,454,0.022026431718061675
42732,0,34,0.0
42741,0,1,0.0
4275,0,17,0.0
42760,0,1,0.0
42761,0,6,0.0
42769,0,16,0.0
42781,0,1,0.0
42789,2,146,0.0136986301369863
4279,0,1,0.0
4280,1,48,0.020833333333333332
4289,0,1,0.0
4290,0,1,0.0
4293,0,3,0.0
42989,0,1,0.0
430,0,3,0.0
431,0,6,0.0
4321,0,17,0.0
4329,0,1,0.0
43310,0,3,0.0
43320,0,1,0.0
43491,0,5,0.0
4359,0,5,0.0
4370,0,1,0.0
4371,0,1,0.0
4372,0,1,0.0
4373,1,12,0.08333333333333333
4375,0,1,0.0
4377,0,5,0.0
44021,0,1,0.0
44100,0,1,0.0
4412,0,5,0.0
4413,0,1,0.0
4414,0,9,0.0
4422,0,1,0.0
44284,0,1,0.0
4430,0,6,0.0
44321,1,2,0.5
44322,0,1,0.0
44324,0,1,0.0
4439,1,16,0.0625
44421,0,2,0.0
44422,0,1,0.0
44481,0,1,0.0
44489,0,1,0.0
44502,0,1,0.0
4460,0,1,0.0
4465,0,2,0.0
4474,0,2,0.0
4476,0,1,0.0
4510,0,22,0.0
4512,0,6,0.0
45182,0,20,0.0
45184,0,3,0.0
45189,0,2,0.0
452,0,1,0.0
45340,3,65,0.046153846153846156
45341,1,18,0.05555555555555555
45342,1,46,0.021739130434782608
45352,0,3,0.0
4536,1,7,0.14285714285714285
45381,0,9,0.0
45382,0,4,0.0
45383,1,4,0.25
45384,0,2,0.0
45386,0,2,0.0
45389,0,3,0.0
4548,0,15,0.0
4549,0,8,0.0
4550,0,14,0.0
4551,0,2,0.0
4552,0,26,0.0
4553,2,69,0.028985507246376812
4554,2,29,0.06896551724137931
4555,0,23,0.0
4556,0,11,0.0
4557,0,1,0.0
4558,1,7,0.14285714285714285
4561,0,1,0.0
4564,0,15,0.0
4570,0,1,0.0
4571,0,6,0.0
4572,0,1,0.0
4580,1,36,0.027777777777777776
45829,0,1,0.0
4589,0,38,0.0
4590,0,5,0.0
4592,0,1,0.0
45930,0,1,0.0
45981,1,21,0.047619047619047616
45989,0,11,0.0
4599,1,5,0.2
460,0,2,0.0
4610,0,4,0.0
4612,0,1,0.0
4619,4,110,0.03636363636363636
462,27,908,0.02973568281938326
463,3,72,0.041666666666666664
46400,0,13,0.0
46410,0,2,0.0
46430,0,1,0.0
4650,0,1,0.0
4659,12,611,0.019639934533551555
4660,0,182,0.0
4719,0,1,0.0
4720,0,4,0.0
4730,0,1,0.0
4732,0,2,0.0
4739,2,78,0.02564102564102564
47411,0,1,0.0
475,0,48,0.0
4770,0,1,0.0
4778,0,1,0.0
4779,0,23,0.0
47819,0,59,0.0
47824,0,1,0.0
47825,0,1,0.0
47829,0,4,0.0
47830,0,1,0.0
47831,0,1,0.0
4785,0,3,0.0
4786,0,1,0.0
4789,0,1,0.0
4802,0,1,0.0
4809,0,1,0.0
486,9,458,0.019650655021834062
4870,0,1,0.0
4871,3,300,0.01
4878,0,1,0.0
48882,0,6,0.0
490,2,113,0.017699115044247787
49120,0,1,0.0
49121,2,133,0.015037593984962405
49122,0,3,0.0
4920,0,1,0.0
4928,0,3,0.0
49322,0,1,0.0
49390,1,82,0.012195121951219513
49391,0,2,0.0
49392,7,729,0.009602194787379973
4940,0,2,0.0
4959,0,1,0.0
496,4,65,0.06153846153846154
5060,0,1,0.0
5070,0,1,0.0
5082,0,12,0.0
5100,0,1,0.0
5109,3,4,0.75
5110,0,9,0.0
51181,0,1,0.0
51189,0,1,0.0
5119,1,32,0.03125
5121,0,1,0.0
51289,1,5,0.2
514,0,1,0.0
515,0,4,0.0
5172,0,1,0.0
5178,0,1,0.0
5181,1,5,0.2
5184,0,3,0.0
51881,0,1,0.0
51882,0,4,0.0
51889,0,1,0.0
51900,0,2,0.0
51901,0,1,0.0
51902,0,1,0.0
51909,0,10,0.0
51911,0,14,0.0
51919,0,3,0.0
5198,0,1,0.0
5199,1,38,0.02631578947368421
5206,0,4,0.0
52100,1,34,0.029411764705882353
52109,1,18,0.05555555555555555
52181,0,5,0.0
5220,0,4,0.0
5224,2,90,0.022222222222222223
5225,3,65,0.046153846153846156
52300,0,1,0.0
52310,0,11,0.0
52311,0,1,0.0
52330,0,1,0.0
52331,0,6,0.0
52333,0,2,0.0
52340,0,1,0.0
5238,1,6,0.16666666666666666
5239,0,2,0.0
52460,0,16,0.0
52462,0,6,0.0
52469,1,14,0.07142857142857142
5258,0,2,0.0
5259,12,350,0.03428571428571429
5264,0,4,0.0
5265,0,3,0.0
52689,0,1,0.0
5272,3,58,0.05172413793103448
5275,0,3,0.0
5277,0,6,0.0
5278,0,1,0.0
52800,0,2,0.0
5282,2,21,0.09523809523809523
5283,0,18,0.0
5285,1,11,0.09090909090909091
5289,1,46,0.021739130434782608
5290,0,2,0.0
5291,0,1,0.0
5293,0,1,0.0
5296,0,5,0.0
5298,0,4,0.0
5299,0,1,0.0
53010,1,7,0.14285714285714285
53011,0,2,0.0
53012,0,1,0.0
53013,0,2,0.0
53019,0,9,0.0
5303,0,4,0.0
5304,0,1,0.0
5305,1,11,0.09090909090909091
5306,0,1,0.0
5307,0,6,0.0
53081,3,127,0.023622047244094488
53087,0,1,0.0
53290,0,1,0.0
53390,0,5,0.0
53500,0,2,0.0
53530,0,4,0.0
53540,0,3,0.0
53550,1,93,0.010752688172043012
53570,0,2,0.0
5362,6,18,0.3333333333333333
5363,1,31,0.03225806451612903
53640,1,35,0.02857142857142857
53642,1,11,0.09090909090909091
53649,5,58,0.08620689655172414
5368,1,7,0.14285714285714285
5369,1,1,1.0
53782,0,1,0.0
53789,0,1,0.0
53909,1,10,0.1
5409,0,11,0.0
541,0,1,0.0
55010,0,6,0.0
55011,0,1,0.0
55090,1,69,0.014492753623188406
55093,0,1,0.0
55120,0,1,0.0
5521,1,3,0.3333333333333333
55220,0,4,0.0
55229,0,1,0.0
55300,0,3,0.0
5531,3,32,0.09375
55320,1,17,0.058823529411764705
55321,0,4,0.0
55329,0,4,0.0
5533,0,6,0.0
5538,0,1,0.0
5550,0,9,0.0
5559,1,85,0.011764705882352941
5562,0,3,0.0
5566,0,2,0.0
5569,1,27,0.037037037037037035
5570,0,2,0.0
5571,0,2,0.0
5589,9,478,0.01882845188284519
5600,0,2,0.0
5601,0,1,0.0
56032,0,2,0.0
5609,0,19,0.0
56210,0,5,0.0
56211,1,213,0.004694835680751174
56400,12,368,0.03260869565217391
56409,0,3,0.0
5641,0,16,0.0
5647,0,1,0.0
5650,1,29,0.034482758620689655
5651,0,4,0.0
566,4,90,0.044444444444444446
56722,0,2,0.0
56782,0,4,0.0
56881,1,2,0.5
56889,1,1,1.0
5691,0,7,0.0
5693,4,161,0.024844720496894408
56941,0,2,0.0
56942,5,111,0.04504504504504504
56949,0,10,0.0
5695,0,2,0.0
56960,0,5,0.0
56962,1,2,0.5
56969,2,39,0.05128205128205128
56981,0,2,0.0
56982,2,2,1.0
56983,0,3,0.0
56989,0,33,0.0
5699,0,3,0.0
570,1,4,0.25
5711,0,2,0.0
5712,1,15,0.06666666666666667
5713,0,1,0.0
57142,0,1,0.0
5715,0,33,0.0
5718,0,8,0.0
5720,0,1,0.0
5722,0,2,0.0
5724,0,1,0.0
5728,0,5,0.0
5733,0,5,0.0
5738,2,5,0.4
5739,0,6,0.0
57400,0,1,0.0
57420,7,134,0.05223880597014925
57450,0,2,0.0
5750,0,3,0.0
57510,0,1,0.0
57511,0,1,0.0
5756,0,1,0.0
5758,0,1,0.0
5759,0,1,0.0
5761,0,1,0.0
5768,0,3,0.0
5770,1,36,0.027777777777777776
5771,1,19,0.05263157894736842
5772,0,2,0.0
5779,0,1,0.0
5780,3,41,0.07317073170731707
5781,0,46,0.0
5789,0,60,0.0
5790,0,2,0.0
5791,0,1,0.0
5798,0,1,0.0
5819,0,3,0.0
5839,0,4,0.0
5849,0,35,0.0
5852,0,1,0.0
5853,0,4,0.0
5854,0,1,0.0
5855,0,3,0.0
5856,4,108,0.037037037037037035
5859,0,21,0.0
586,2,5,0.4
5881,0,1,0.0
5889,0,5,0.0
59010,0,1,0.0
59080,9,270,0.03333333333333333
591,1,70,0.014285714285714285
5920,23,499,0.04609218436873747
5921,9,196,0.04591836734693878
5932,0,3,0.0
5934,0,1,0.0
5935,1,3,0.3333333333333333
59389,0,2,0.0
5939,1,33,0.030303030303030304
5941,0,3,0.0
5950,0,8,0.0
5951,0,2,0.0
5959,0,65,0.0
5960,0,1,0.0
5964,1,1,1.0
59654,1,3,0.3333333333333333
59682,0,1,0.0
59683,2,9,0.2222222222222222
59689,1,6,0.16666666666666666
5970,0,1,0.0
59780,3,54,0.05555555555555555
5989,0,5,0.0
5990,39,1583,0.024636765634870498
5992,0,1,0.0
5993,0,1,0.0
5995,0,1,0.0
59960,0,1,0.0
59969,0,1,0.0
59970,16,266,0.06015037593984962
59971,0,7,0.0
59972,0,3,0.0
60000,2,20,0.1
60001,0,2,0.0
6003,0,1,0.0
60090,0,1,0.0
6010,0,12,0.0
6011,0,1,0.0
6019,1,20,0.05
6038,0,5,0.0
6039,0,10,0.0
60490,2,107,0.018691588785046728
60499,0,1,0.0
605,0,6,0.0
6071,0,18,0.0
6072,0,8,0.0
6073,1,20,0.05
60782,0,1,0.0
60783,0,3,0.0
60784,0,3,0.0
60789,0,16,0.0
6079,1,17,0.058823529411764705
60820,0,8,0.0
6084,0,14,0.0
60882,0,2,0.0
60883,0,3,0.0
60886,0,9,0.0
60889,0,15,0.0
6089,4,121,0.03305785123966942
6100,0,4,0.0
6101,0,1,0.0
6110,3,53,0.05660377358490566
6111,0,1,0.0
61171,1,45,0.022222222222222223
61172,0,22,0.0
61179,0,4,0.0
6141,0,4,0.0
6142,0,1,0.0
6146,0,1,0.0
6149,1,63,0.015873015873015872
6150,0,1,0.0
6160,1,24,0.041666666666666664
61610,2,59,0.03389830508474576
6162,1,11,0.09090909090909091
6163,2,32,0.0625
6164,9,46,0.1956521739130435
61650,0,1,0.0
61689,0,2,0.0
6170,0,1,0.0
6171,0,2,0.0
6178,0,1,0.0
6179,1,17,0.058823529411764705
61800,0,2,0.0
61802,0,1,0.0
61804,0,1,0.0
6181,1,6,0.16666666666666666
6201,0,3,0.0
6202,1,205,0.004878048780487805
6205,0,9,0.0
6208,0,3,0.0
6209,0,4,0.0
6210,0,3,0.0
6218,0,1,0.0
6227,0,1,0.0
6230,0,2,0.0
6232,0,1,0.0
6235,0,35,0.0
6238,5,265,0.018867924528301886
6239,0,4,0.0
6245,0,1,0.0
6248,0,9,0.0
6249,0,1,0.0
6250,0,6,0.0
6252,0,2,0.0
6253,1,39,0.02564102564102564
6256,0,1,0.0
6258,1,10,0.1
6259,9,255,0.03529411764705882
6260,0,1,0.0
6262,0,28,0.0
6264,0,4,0.0
6266,0,1,0.0
6267,0,1,0.0
6268,2,74,0.02702702702702703
6269,0,4,0.0
6270,0,2,0.0
6271,1,10,0.1
6273,0,1,0.0
6283,0,1,0.0
6288,0,1,0.0
62989,0,1,0.0
6318,0,1,0.0
632,0,25,0.0
63310,0,4,0.0
63380,0,1,0.0
63390,0,28,0.0
63491,1,49,0.02040816326530612
63492,1,63,0.015873015873015872
63510,0,1,0.0
63511,0,5,0.0
63512,0,3,0.0
63571,0,1,0.0
63591,0,14,0.0
63791,0,1,0.0
6390,0,1,0.0
6391,0,4,0.0
64003,3,129,0.023255813953488372
64083,4,50,0.08
64093,5,111,0.04504504504504504
64103,0,1,0.0
64113,0,1,0.0
64123,0,1,0.0
64193,1,41,0.024390243902439025
64203,0,2,0.0
64234,0,2,0.0
64294,0,1,0.0
64303,5,87,0.05747126436781609
64313,2,18,0.1111111111111111
64323,0,5,0.0
64613,0,1,0.0
64614,0,2,0.0
64624,0,1,0.0
64653,0,6,0.0
64663,0,25,0.0
64664,0,3,0.0
64683,0,2,0.0
64763,0,6,0.0
64783,0,3,0.0
64803,1,4,0.25
64813,0,1,0.0
64823,0,1,0.0
64833,0,1,0.0
64843,1,3,0.3333333333333333
64844,0,3,0.0
64863,0,1,0.0
64893,9,461,0.019522776572668113
64894,0,22,0.0
64943,0,1,0.0
64953,0,13,0.0
64973,1,2,0.5
65143,0,1,0.0
65413,0,2,0.0
65414,0,1,0.0
65443,0,2,0.0
65444,0,1,0.0
